stock_code,target_month,model,sigma,sigma_source,n_residuals_product,abc_class,zero_mad
21179,2011-06,B1_last_month,38.547600,product,12,B,False
21181,2011-06,B1_last_month,513.720900,product,12,A,False
21186,2011-06,B1_last_month,155.673000,product,12,A,False
21187,2011-06,B1_last_month,65.975700,product,12,B,False
21188,2011-06,B1_last_month,45.219300,product,12,B,False
21189,2011-06,B1_last_month,28.169400,product,12,B,False
21190,2011-06,B1_last_month,40.030200,product,12,B,False
21191,2011-06,B1_last_month,68.940900,product,12,B,False
21192,2011-06,B1_last_month,87.473400,product,12,B,False
21194,2011-06,B1_last_month,5.930400,product,12,C,False
21195,2011-06,B1_last_month,41.512800,product,12,B,False
21196,2011-06,B1_last_month,12.602100,product,12,C,False
21197,2011-06,B1_last_month,21.497700,product,12,C,False
21198,2011-06,B1_last_month,20.756400,product,12,B,False
21199,2011-06,B1_last_month,24.462900,product,12,B,False
21200,2011-06,B1_last_month,39.288900,product,12,B,False
21201,2011-06,B1_last_month,72.647400,product,12,A,False
21202,2011-06,B1_last_month,52.632300,product,12,B,False
21204,2011-06,B1_last_month,46.701900,product,12,B,False
21205,2011-06,B1_last_month,14.084700,product,12,B,False
21206,2011-06,B1_last_month,78.577800,product,12,B,False
21207,2011-06,B1_last_month,104.523300,product,12,A,False
21208,2011-06,B1_last_month,36.323700,product,12,C,False
21209,2011-06,B1_last_month,26.686800,product,12,B,False
21210,2011-06,B1_last_month,315.052500,product,12,A,False
21211,2011-06,B1_last_month,95.627700,product,12,B,False
21212,2011-06,B1_last_month,865.838400,product,12,A,False
21213,2011-06,B1_last_month,943.674900,product,12,A,False
21215,2011-06,B1_last_month,106.747200,product,12,B,False
21216,2011-06,B1_last_month,40.771500,product,12,A,False
21217,2011-06,B1_last_month,77.095200,product,12,A,False
21218,2011-06,B1_last_month,56.338800,product,12,A,False
21219,2011-06,B1_last_month,45.960600,product,12,B,False
21220,2011-06,B1_last_month,20.015100,product,12,C,False
21221,2011-06,B1_last_month,22.980300,product,12,C,False
21222,2011-06,B1_last_month,14.084700,product,12,C,False
21224,2011-06,B1_last_month,32.617200,product,12,B,False
21226,2011-06,B1_last_month,3.706500,product,12,C,False
21228,2011-06,B1_last_month,4.447800,product,12,C,False
21231,2011-06,B1_last_month,220.166100,product,12,A,False
21232,2011-06,B1_last_month,358.789200,product,12,A,False
21238,2011-06,B1_last_month,313.569900,product,12,A,False
21239,2011-06,B1_last_month,122.314500,product,12,A,False
21240,2011-06,B1_last_month,148.260000,product,12,A,False
21242,2011-06,B1_last_month,106.747200,product,12,A,False
21243,2011-06,B1_last_month,134.916600,product,12,A,False
21244,2011-06,B1_last_month,252.042000,product,12,A,False
21245,2011-06,B1_last_month,65.234400,product,12,A,False
21246,2011-06,B1_last_month,27.428100,product,12,B,False
21248,2011-06,B1_last_month,22.239000,product,12,B,False
21249,2011-06,B1_last_month,63.751800,product,12,A,False
21250,2011-06,B1_last_month,22.980300,product,12,C,False
21251,2011-06,B1_last_month,33.358500,product,12,B,False
21253,2011-06,B1_last_month,8.895600,product,12,C,False
21257,2011-06,B1_last_month,32.617200,product,12,A,False
21258,2011-06,B1_last_month,16.308600,product,12,A,False
21259,2011-06,B1_last_month,57.080100,product,12,A,False
21260,2011-06,B1_last_month,117.125400,product,12,A,False
21261,2011-06,B1_last_month,6.671700,product,12,C,False
21262,2011-06,B1_last_month,7.413000,product,11,B,False
21263,2011-06,B1_last_month,2.965200,product,8,C,False
21264,2011-06,B1_last_month,3.706500,product,10,C,False
21265,2011-06,B1_last_month,1.482600,product,12,C,False
21268,2011-06,B1_last_month,7.413000,product,12,C,False
21269,2011-06,B1_last_month,3.706500,product,12,B,False
21270,2011-06,B1_last_month,2.965200,product,12,C,False
21272,2011-06,B1_last_month,38.547600,product,12,B,False
21275,2011-06,B1_last_month,3.706500,product,12,B,False
